hhidpn,hhid,pn,ra019,rj005m1,rj005m2,rj005m3,rj005m4,rj005m5,rj020,rp047,rp113,rp150,rp180,rx060_r,rz216,rv550,rv551,rv552,rv553,rv554,rv555,rv556,rv557,rv558,rv559,rv560,rv561,rv562,rv563,rv564,rq021,rq134,rq148,rq316,rq317,rq331,rq345,rq357
10003030,010003,030,64,6,,,,,5,0,,,,2,16,,,,,,,,,,,,,,,,,,,5,,,,
10004040,010004,040,73,5,,,,,5,0,,,60,2,12,,,,,,,,,,,,,,,,,,,5,,9999998,9999998,999999998
10013040,010013,040,72,5,,,,,5,50,2,,,2,13,,,,,,,,,,,,,,,,,,,1,50000,,50000,
10038010,010038,010,83,5,,,,,5,50,1,50,50,1,16,,,,,,,,,,,,,,,,,,,5,,,80000,
10038040,010038,040,77,5,,,,,5,75,,10,998,2,16,,,,,,,,,,,,,,,,,,,5,,,80000,
10050010,010050,010,79,1,,,,,1,998,,,,2,17,,,,,,,,,,,,,,,,,,,1,999999998,,60000,
10059020,010059,020,85,6,,,,,5,50,1,50,30,2,16,,,,,,,,,,,,,,,,,,,8,,9999998,9999998,
10059030,010059,030,92,1,,,,,1,,,,,1,17,,,,,,,,,,,,,,,,,,,8,,9999998,9999998,
10075020,010075,020,83,5,,,,,5,50,2,,,2,8,,,,,,,,,,,,,,,,,,,5,,,,
10106010,010106,010,89,5,,,,,5,100,,50,,1,17,,,,,,,,,,,,,,,,,2000000,,1,999999998,,,
10106020,010106,020,87,6,,,,,5,90,,80,20,2,13,,,,,,,,,,,,,,,,,2000000,,1,999999998,,,
10109030,010109,030,91,5,,,,,5,5,,5,2,1,17,,,,,,,,,,,,,,,,,1500000,1000000,5,,,26000,
10299010,010299,010,80,5,,,,,5,70,,0,50,1,17,,,,,,,,,,,,,,,,,,,5,,,3000,
10299011,010299,011,69,5,,,,,5,,,,,2,7,,,,,,,,,,,,,,,,5001,,,5,,,80,
10325020,010325,020,81,5,,,,,5,998,,,,2,14,,,,,,,,,,,,,,,,,,,5,,,6000,
10372010,010372,010,84,5,,,,,5,998,,,,2,10,,,,,,,,,,,,,,,,,,,5,,,,
10397010,010397,010,79,5,,,,,5,75,,50,25,1,17,,,,,,,,,,,,,,,,,,,5,,,280000,
10404010,010404,010,80,5,6,,,,5,50,2,,,2,12,,,,,,,,,,,,,,,,,,,5,,,9999998,
10451010,010451,010,81,5,,,,,5,30,,30,30,2,16,,,,,,,,,,,,,,,,,,,5,,,300000,
10451020,010451,020,79,5,,,,,5,80,,70,40,1,16,,,,,,,,,,,,,,,,,,,5,,,300000,
10453020,010453,020,88,5,,,,,5,80,,80,998,1,12,,,,,,,,,,,,,,,,,,,1,999999998,,,
10458020,010458,020,81,5,,,,,5,50,2,,,1,13,,,,,,,,,,,,,,,,,,,5,,,50000,
10458030,010458,030,76,5,,,,,5,30,,25,20,2,16,,,,,,,,,,,,,,,,,,,5,,,50000,
10477010,010477,010,83,5,,,,,5,40,,40,10,1,16,,,,,,,,,,,,,,,,,,,5,,,100,
10477020,010477,020,84,5,,,,,5,50,2,,,2,12,,,,,,,,,,,,,,,,,,,5,,,100,
10481010,010481,010,79,5,,,,,5,33,,10,25,1,17,,,,,,,,,,,,,,,,,,,1,120000,,20000,450000
10481020,010481,020,80,5,,,,,5,25,,20,80,2,17,,,,,,,,,,,,,,,,,,,1,120000,,20000,450000
10482010,010482,010,79,5,,,,,5,998,,,,2,13,,,,,,,,,,,,,,,,,,,5,,,,
10533011,010533,011,89,4,5,,,,5,998,,,,1,16,,,,,,,,,,,,,,,,,,,5,,,,
10537010,010537,010,82,4,,,,,5,,,,,2,12,,,,,,,,,,,,,,,,,,,5,,,300,
10537011,010537,011,88,5,,,,,5,,,,,1,12,,,,,,,,,,,,,,,,,,,5,,,300,
10571010,010571,010,79,1,,,,,1,998,,,,2,7,,,,,,,,,,,,,,,,,,,5,,,18000,
10577010,010577,010,81,5,,,,,5,998,,,,2,16,,,,,,,,,,,,,,,,,,,5,,,600,
10648010,010648,010,78,5,,,,,5,,,,,1,12,,,,,,,,,,,,,,,,,,,5,,,9999998,
10648020,010648,020,79,5,,,,,5,80,,5,5,2,12,,,,,,,,,,,,,,,,,,,5,,,9999998,
10708030,010708,030,74,,,,,,,,,,,2,12,,,,,,,,,,,,,,,,,,,,,,,
10740010,010740,010,83,4,,,,,5,,,,,2,14,,,,,,,,,,,,,,,,,,,5,,,9999998,
10769040,010769,040,65,1,,,,,1,50,2,,,2,12,,,,,,,,,,,,,,,,,,,1,999999998,,6000,
10773020,010773,020,82,7,,,,,5,998,,,,2,11,,,,,,,,,,,,,,,,,,,1,450000,,,100000
10773030,010773,030,91,5,,,,,5,20,,20,20,1,17,,,,,,,,,,,,,,,,,,,1,450000,,,100000
10818010,010818,010,82,5,,,,,5,50,2,,,1,14,,,,,,,,,,,,,,,,,,,1,112000,,12000,
10818040,010818,040,71,5,,,,,5,-8,,-8,,2,13,,,,,,,,,,,,,,,,,,,1,112000,,12000,
10893010,010893,010,80,1,,,,,1,30,,20,50,2,17,,,,,,,,,,,,,,,,,350000,,5,,,3000,
10917010,010917,010,82,4,,,,,5,50,2,,,2,16,,,,,,,,,,,,,,,,,,,5,,,10,
10929010,010929,010,84,1,,,,,1,,,,,1,17,,,,,,,,,,,,,,,,,999999999,,9,,,9999999,
10929040,010929,040,78,5,,,,,5,70,,30,10,2,14,,,,,,,,,,,,,,,,,999999999,,9,,,9999999,
10962010,010962,010,80,1,,,,,1,998,,,,2,14,0,0,50,0,0,0,1,5,10,10,5,10,0,10,3,,,,5,,,674,
10989010,010989,010,84,5,,,,,5,50,2,,,1,9,50,50,0,0,0,50,1,5,10,10,10,5,5,10,10,,,,5,,,2000,
10989020,010989,020,79,5,,,,,5,10,,10,0,2,17,,,,,,,,,,,,,,,,,,,5,,,2000,
11067020,011067,020,80,5,,,,,5,,,,,2,13,,,,,,,,,,,,,,,,,,,1,600000,,60000,
11067030,011067,030,78,5,,,,,5,80,,40,50,1,12,,,,,,,,,,,,,,,,,,,1,600000,,60000,
