ra019,rj005m1,rj005m2,rj005m3,rj005m4,rj005m5,rj020,rp047,rp113,rp150,rp180,rx060_r,rz216,rv550,rv551,rv552,rv553,rv554,rv555,rv556,rv557,rv558,rv559,rv560,rv561,rv562,rv563,rv564,rq021,rq134,rq148,rq316,rq317,rq331,rq345,rq357
64,6,,,,,5,0,,,,2,16,,,,,,,,,,,,,,,,,,,5,,,,
73,5,,,,,5,0,,,60,2,12,,,,,,,,,,,,,,,,,,,5,,9999998,9999998,999999998
72,5,,,,,5,50,2,,,2,13,,,,,,,,,,,,,,,,,,,1,50000,,50000,
83,5,,,,,5,50,1,50,50,1,16,,,,,,,,,,,,,,,,,,,5,,,80000,
77,5,,,,,5,75,,10,998,2,16,,,,,,,,,,,,,,,,,,,5,,,80000,
79,1,,,,,1,998,,,,2,17,,,,,,,,,,,,,,,,,,,1,999999998,,60000,
85,6,,,,,5,50,1,50,30,2,16,,,,,,,,,,,,,,,,,,,8,,9999998,9999998,
92,1,,,,,1,,,,,1,17,,,,,,,,,,,,,,,,,,,8,,9999998,9999998,
83,5,,,,,5,50,2,,,2,8,,,,,,,,,,,,,,,,,,,5,,,,
89,5,,,,,5,100,,50,,1,17,,,,,,,,,,,,,,,,,2000000,,1,999999998,,,
87,6,,,,,5,90,,80,20,2,13,,,,,,,,,,,,,,,,,2000000,,1,999999998,,,
91,5,,,,,5,5,,5,2,1,17,,,,,,,,,,,,,,,,,1500000,1000000,5,,,26000,
80,5,,,,,5,70,,0,50,1,17,,,,,,,,,,,,,,,,,,,5,,,3000,
69,5,,,,,5,,,,,2,7,,,,,,,,,,,,,,,,5001,,,5,,,80,
81,5,,,,,5,998,,,,2,14,,,,,,,,,,,,,,,,,,,5,,,6000,
84,5,,,,,5,998,,,,2,10,,,,,,,,,,,,,,,,,,,5,,,,
79,5,,,,,5,75,,50,25,1,17,,,,,,,,,,,,,,,,,,,5,,,280000,
80,5,6,,,,5,50,2,,,2,12,,,,,,,,,,,,,,,,,,,5,,,9999998,
81,5,,,,,5,30,,30,30,2,16,,,,,,,,,,,,,,,,,,,5,,,300000,
79,5,,,,,5,80,,70,40,1,16,,,,,,,,,,,,,,,,,,,5,,,300000,
88,5,,,,,5,80,,80,998,1,12,,,,,,,,,,,,,,,,,,,1,999999998,,,
81,5,,,,,5,50,2,,,1,13,,,,,,,,,,,,,,,,,,,5,,,50000,
76,5,,,,,5,30,,25,20,2,16,,,,,,,,,,,,,,,,,,,5,,,50000,
83,5,,,,,5,40,,40,10,1,16,,,,,,,,,,,,,,,,,,,5,,,100,
84,5,,,,,5,50,2,,,2,12,,,,,,,,,,,,,,,,,,,5,,,100,
79,5,,,,,5,33,,10,25,1,17,,,,,,,,,,,,,,,,,,,1,120000,,20000,450000
80,5,,,,,5,25,,20,80,2,17,,,,,,,,,,,,,,,,,,,1,120000,,20000,450000
79,5,,,,,5,998,,,,2,13,,,,,,,,,,,,,,,,,,,5,,,,
89,4,5,,,,5,998,,,,1,16,,,,,,,,,,,,,,,,,,,5,,,,
82,4,,,,,5,,,,,2,12,,,,,,,,,,,,,,,,,,,5,,,300,
88,5,,,,,5,,,,,1,12,,,,,,,,,,,,,,,,,,,5,,,300,
79,1,,,,,1,998,,,,2,7,,,,,,,,,,,,,,,,,,,5,,,18000,
81,5,,,,,5,998,,,,2,16,,,,,,,,,,,,,,,,,,,5,,,600,
78,5,,,,,5,,,,,1,12,,,,,,,,,,,,,,,,,,,5,,,9999998,
79,5,,,,,5,80,,5,5,2,12,,,,,,,,,,,,,,,,,,,5,,,9999998,
74,,,,,,,,,,,2,12,,,,,,,,,,,,,,,,,,,,,,,
83,4,,,,,5,,,,,2,14,,,,,,,,,,,,,,,,,,,5,,,9999998,
65,1,,,,,1,50,2,,,2,12,,,,,,,,,,,,,,,,,,,1,999999998,,6000,
82,7,,,,,5,998,,,,2,11,,,,,,,,,,,,,,,,,,,1,450000,,,100000
91,5,,,,,5,20,,20,20,1,17,,,,,,,,,,,,,,,,,,,1,450000,,,100000
82,5,,,,,5,50,2,,,1,14,,,,,,,,,,,,,,,,,,,1,112000,,12000,
71,5,,,,,5,-8,,-8,,2,13,,,,,,,,,,,,,,,,,,,1,112000,,12000,
80,1,,,,,1,30,,20,50,2,17,,,,,,,,,,,,,,,,,350000,,5,,,3000,
82,4,,,,,5,50,2,,,2,16,,,,,,,,,,,,,,,,,,,5,,,10,
84,1,,,,,1,,,,,1,17,,,,,,,,,,,,,,,,,999999999,,9,,,9999999,
78,5,,,,,5,70,,30,10,2,14,,,,,,,,,,,,,,,,,999999999,,9,,,9999999,
80,1,,,,,1,998,,,,2,14,0,0,50,0,0,0,1,5,10,10,5,10,0,10,3,,,,5,,,674,
84,5,,,,,5,50,2,,,1,9,50,50,0,0,0,50,1,5,10,10,10,5,5,10,10,,,,5,,,2000,
79,5,,,,,5,10,,10,0,2,17,,,,,,,,,,,,,,,,,,,5,,,2000,
80,5,,,,,5,,,,,2,13,,,,,,,,,,,,,,,,,,,1,600000,,60000,
78,5,,,,,5,80,,40,50,1,12,,,,,,,,,,,,,,,,,,,1,600000,,60000,
84,4,,,,,5,,,,,1,12,,,,,,,,,,,,,,,,,,,9,,,,
86,6,,,,,5,30,,40,10,2,16,,,,,,,,,,,,,,,,,,,1,999999999,9999998,9999998,
87,5,,,,,5,90,,30,7,1,17,,,,,,,,,,,,,,,,,,,1,999999999,9999998,9999998,
76,5,,,,,5,50,2,,,1,12,,,,,,,,,,,,,,,,,,,5,,,9999999,
85,4,,,,,5,,,,,2,7,,,,,,,,,,,,,,,,,,,5,,,,
81,6,,,,,1,998,,,,2,12,,,,,,,,,,,,,,,,0,,,5,,,,
